cname,phone,website,email,url
Aadarsha Secondary School,021512647,https://adarshaschool.edu.np/,adarshavidyala1986@gmail.com,https://www.collegesnepal.com/aadarsha-secondary-school/
Aadikavi BhanuBhakta Campus,+977 065-590096,http://aadikavicampus.edu.np/,info@aadikavicampus.edu.np,https://www.collegesnepal.com/aadikavi-bhanubhakta-campus/
Aadim National College,"01-4580609, 014580610",http://aadimcollege.edu.np/,info@aadimcollege.edu.np,https://www.collegesnepal.com/aadim-national-college/
Aayaam International College,01-5550778,http://aayaamcollege.edu.np/,aayaamcollege@mail.com,https://www.collegesnepal.com/aayaam-international-college/
Academia International College,+977(1)5420553,https://www.academiacollege.edu.np/,info@academiacollege.edu.np,https://www.collegesnepal.com/academia-international-college/
Ace Higher Secondary School,01-4112000,https://www.ahs.edu.np/,ahs@ahs.edu.np,https://www.collegesnepal.com/ace-higher-secondary-school/
Ace Institute of Management,01-5970178,www.ace.edu.np,ace@ace.edu.np,https://www.collegesnepal.com/ace-institute-of-management/
Ace International Business School,01-5970178,https://ace.edu.np/,aibs@aibs.ace.edu.np,https://www.collegesnepal.com/ace-international-business-school/
Achham Multiple Campus,097-620134,https://achhamcampus.edu.np/,info@achhamcampus.edu.np,https://www.collegesnepal.com/achham-multiple-campus/
ACHS College of IT and Computer Science,+977-01-5912727,https://achsnepal.edu.np/,info@achsnepal.edu.np,https://www.collegesnepal.com/achs-college-of-it-and-computer-science/
Acme Engineering College,01-4282962,www.acme.edu.np,acme@acme.edu.np,https://www.collegesnepal.com/acme-engineering-college/
Active Academy College,01-4356400,www.activeacademycollege.edu.np/,activeacademycollege019@gmail.com,https://www.collegesnepal.com/active-academy-college/
Adarsha Janapremi English Secondary School,977-01-6630967,https://janapremi.edu.np/,info@janapremi.edu.np,https://www.collegesnepal.com/adarsha-janapremi-english-secondary-school/
Advance Academy and Republica College,01-5550878,https://advancefoundation.edu.np/,info@advancefoundation.edu.np,https://www.collegesnepal.com/advance-academy-and-republica-college/
Advanced College Of Engineering & Management,"01- 5234288,",https://acem.edu.np/,info@acem.edu.np,https://www.collegesnepal.com/advanced-college-of-engineering-management/
Agro Forestry Polytechnic Institute,9857066871,https://afpi.edu.np/,afpi2017argha@gmail.com,https://www.collegesnepal.com/agro-forestry-polytechnic-institute/
AIMS College,021-537060,www.aimsnp.edu.np,aimscollegebrt@gmail.com,https://www.collegesnepal.com/aims-college/
Aishwarya Multiple Campus,091-526877,http://amcdhangadhi.edu.np,amc_dhangadhi@yahoo.com,https://www.collegesnepal.com/aishwarya-multiple-campus/
Alka Institute Of Medical Sciences,01-5428957,http://www.alkahospital.com/home/aims,info@alkahospital.com,https://www.collegesnepal.com/alka-institute-of-medical-sciences/
All Nepal College of Technical Education,01-4470906,http://allnepal.edu.np/,info@allnepal.edu.np,https://www.collegesnepal.com/all-nepal-college-of-technical-education/
Alliance Academy,01-4491598,http://www.alliance.edu.np,info@alliance.edu.np,https://www.collegesnepal.com/alliance-academy/
Alpine Management College,081-521017,http://alpinemc.edu.np/,info@alpinemc.edu.np,https://www.collegesnepal.com/alpine-management-college/
Amar Secondary School,056-401123,https://amarss.edu.np/,amarmavi2012@yahoo.com,https://www.collegesnepal.com/amar-secondary-school/
Ambikeshwari College,082-563545,https://amc.edu.np/contact-us/,info@amc.edu.np,https://www.collegesnepal.com/ambikeshwari-college/
Arunodaya College,,www.arunodaya.edu.np,lamichhane50k@yahoo.com,https://www.collegesnepal.com/arunodaya-college/
Aryan School of Engineering & Management,01-4582217,www.thearyanschool.edu.np,info@thearyanschool.edu.np,https://www.collegesnepal.com/aryan-school/
Ashirwad College,01-4352589,http://ashirwadcollege.edu.np,ashirwad.college1@gmail.com,https://www.collegesnepal.com/ashirwad-college/
Asian College of Advance Studies,01-5540183,www.acas.edu.np,info@acas.edu.np/asiansumeru@gmail.com,https://www.collegesnepal.com/asian-college-of-advance-studies/
Asian College of Higher Studies,01-5912727,https://achsnepal.edu.np/,info@achsnepal.edu.np,https://www.collegesnepal.com/asian-college-of-higher-studies/
Asian College of Management,01-4790099,www.acmt.edu.np,info@acmt.edu.np,https://www.collegesnepal.com/asian-college-of-management/
Asian Engineering College,+977-1-5202726,https://www.asianengcollege.edu.np/,info.aec.np@gmail.com,https://www.collegesnepal.com/asian-engineering-college/
Asian Institute of Technology and Management,9849449503,http://aitm.edu.np/,enquiries@aitm.edu.np,https://www.collegesnepal.com/asian-institute-of-technology-and-management/
Asian School of Management and Technology,01-5900364,https://asm.edu.np,info@asm.edu.np,https://www.collegesnepal.com/asian-school-of-management-and-technology/
Atharva Business College,01-4372966,www.atharvacollege.edu.np,info@atharvacollege.edu.np,https://www.collegesnepal.com/atharva-business-college/
Atlantic International College,01-4022514,www.atlantic.edu.np,info@atlantic.edu.np,https://www.collegesnepal.com/atlantic-international-college/
Axis College,071-438350,http://www.axiscollege.edu.np/,axiscollege.edu.np,https://www.collegesnepal.com/axis-college/
Ayurveda Campus,01-4336420,https://www.ayurvedacampus.edu.np/,info@ayurvedacampus.edu.np,https://www.collegesnepal.com/ayurveda-campus/
B and B Medical Institute,01-5531933,https://www.bbhospital.com.np/,admin@bbhospital.com.np,https://www.collegesnepal.com/b-and-b-medical-institute/
Babai Multiple Campus,084-420129,www.babaicampus.edu.np,bmcbardiya@yahoo.com/bmcbardiya@gmail.com,https://www.collegesnepal.com/babai-multiple-campus/
Bagh Bhairab Secondary School,01-6226815,http://baghbhairabhss.edu.np,info@baghbhairabhss.edu.np,https://www.collegesnepal.com/bagh-bhairab-secondary-school/
Bagmati Modern College,01-4374881,www.bmcollege.edu.np,info@bmcollege.edu.np,https://www.collegesnepal.com/bagmati-modern-college/
Bajra Barahi Secondary School,01-5570513,https://bajrabarahischool.edu.np/,bajrabarahischool@gmail.com,https://www.collegesnepal.com/bajra-barahi-secondary-school/
Bajra International College,01-4915415,https://bajrainternationalcollege.edu.np,bajraintlcollege@gmail.com,https://www.collegesnepal.com/bajra-international-college/
Balaju School Of Engineering & Technology,01-4350213,https://bset.edu.np/,bset1962balaju@gmail.com,https://www.collegesnepal.com/balaju-school-of-engineering-and-technology/
Balkumari College,+977-056-598927,http://www.balkumaricollege.edu.np,info@balkumaricollege.edu.np,https://www.collegesnepal.com/balkumari-college/
Balkumari Secondary School,01-5527008,http://shreebalkumari.edu.np,info@shreebalkumari.edu.np,https://www.collegesnepal.com/balkumari-secondary-school/
Baneshwor Campus,01-4620310,http://www.baneshworcampus.edu.np/,baneshworcampus2047@yahoo.com,https://www.collegesnepal.com/baneshwor-campus/
Banke Bageshwori Campus,+977-29-562195,http://bbc.edu.np/,bbcollege2071@gmail.com,https://www.collegesnepal.com/banke-bageshwori-campus/
Barun Multiple Campus,029-560195,www.baruncampus.edu.np,info@barun.campus95.edu.np,https://www.collegesnepal.com/barun-multiple-campus/
Bhagyodaya Campus,01-4451355,https://bhagyodayac.edu.np/,sankhu@bhagyodayacollege.edu.np,https://www.collegesnepal.com/bhagyodaya-campus/
Bhairahawa Multiple(Bahumukhi) Campus,071-520205,https://www.bhairahawacampus.edu.np,info@bhairahawacampus.edu.np,https://www.collegesnepal.com/bhairahawa-multiple-bahumukhi-campus/
Bhaktapur Multiple Campus,01-6610200,https://bmcbkt.edu.np/,info@bmcbkt.edu.np,https://www.collegesnepal.com/bhaktapur-multiple-campus/
Bhanubhakta Memorial College,01-4419474,www.bbmc.edu.np,bhanubhakta@wlink.com.np,https://www.collegesnepal.com/bhanubhakta-memorial-college/
Bheri Nursing College,081-523839,http://bherinursingcollege.com,bherinursingcollege@gmail.com,https://www.collegesnepal.com/bheri-nursing-college/
Bhojpur Multiple Campus,029-420106,http://bhojpurcampus.edu.np,bhojpurmc@gmail.com,https://www.collegesnepal.com/bhojpur-multiple-campus/
Bijeswori Secondary School,01-4272418,http://bhss-aic.edu.np,bbschool_nepal@yahoo.com,https://www.collegesnepal.com/bijeswori-secondary-school/
Bir Hospital Nursing Campus,+977-1-5970750,nams.org.np,admin@nams.org.np,https://www.collegesnepal.com/bir-hospital-nursing-campus/
Birat Health College and Research Center,021-420974,http://www.birathealthcollege.edu.np/,hr@birathealthcollege.com,https://www.collegesnepal.com/birat-health-college-and-research-center/
Birat Kshitiz College,+977-9820756262,http://kshitiz.edu.np/,kshitiz.brt@gmail.com,https://www.collegesnepal.com/birat-kshitiz-college/
Birat Multiple College,021-420900,http://arnikofoundation.edu.np/,bmccollege03@arnikofoundation.edu.np,https://www.collegesnepal.com/birat-multiple-college/
Biratnagar International College,021-500050,https://bicnepal.edu.np/,info@bicnepal.edu.np,https://www.collegesnepal.com/biratnagar-international-college/
Birendra Bidhya Mandir Campus,+091-560949,https://www.birendracampus.edu.np/,bmc.tkp@gmail.com,https://www.collegesnepal.com/birendra-bidhya-mandir-campus/
Birendra Memorial College,025-579759,www.bmcdharan.edu.np,bmccsit@gmail.com,https://www.collegesnepal.com/birendra-memorial-college/
Birendra Multiple Campus,056-493253,https://bmc.edu.np/,info@bmc.edu.np,https://www.collegesnepal.com/birendra-multiple-campus/
Birendra Sainik Residential Campus,+977-016618830,bsamv.edu.np,info@bsamv.edu.np,https://www.collegesnepal.com/birendra-sainik-residential-campus/
Birgunj Institute of Technology and Engineering College,051-528020,bit.edu.np,info.bitcollege@gmail.com,https://www.collegesnepal.com/birgunj-institute-of-technology-and-engineering-college/
Birgunj Public  Secondary School,+977-51-532198,https://bpcbirgunj.edu.np/,info@bpcbirgunj.edu.np,https://www.collegesnepal.com/birgunj-public-secondary-school/
